y,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,bell,smooth,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,scattered,urban
edible,convex,scaly,yellow,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,brown,1,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,paths
edible,bell,scaly,yellow,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,1,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,sunken,fibrous,gray,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,urban
poisonous,convex,scaly,brown,1,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,1,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,bell,smooth,yellow,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,bell,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,1,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,paths
edible,convex,fibrous,brown,0,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,solitary,urban
poisonous,convex,scaly,white,1,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,grasses
edible,convex,smooth,yellow,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,convex,scaly,white,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,convex,smooth,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,yellow,1,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,scattered,paths
edible,flat,scaly,yellow,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,scattered,paths
edible,convex,scaly,brown,1,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,scattered,grasses
edible,convex,smooth,white,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,bell,smooth,white,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
poisonous,convex,scaly,brown,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
poisonous,convex,smooth,white,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,urban
edible,bell,scaly,yellow,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,flat,fibrous,gray,0,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,abundant,grasses
edible,bell,smooth,white,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,convex,scaly,brown,1,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,paths
edible,sunken,fibrous,gray,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,bell,scaly,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,bell,smooth,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,bell,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,bell,scaly,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,flat,smooth,brown,0,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,1,enanescent,black,abundant,grasses
edible,convex,smooth,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,flat,scaly,yellow,1,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,convex,fibrous,gray,0,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,flat,fibrous,yellow,1,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,bell,scaly,white,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,flat,fibrous,yellow,1,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,convex,scaly,brown,1,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,scattered,paths
edible,bell,smooth,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,flat,smooth,yellow,1,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,convex,smooth,white,1,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,u,several,woods
edible,flat,scaly,brown,1,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,paths
poisonous,convex,scaly,brown,1,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,flat,scaly,brown,1,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,grasses
edible,convex,smooth,brown,0,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,1,enanescent,brown,scattered,grasses
poisonous,convex,scaly,white,1,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,flat,fibrous,gray,0,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,convex,fibrous,gray,0,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,scattered,grasses
edible,convex,scaly,yellow,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,scattered,grasses
edible,convex,smooth,brown,0,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,1,enanescent,black,scattered,grasses
edible,bell,smooth,white,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,smooth,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,flat,scaly,brown,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,0,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,convex,fibrous,brown,0,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,bell,smooth,white,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,convex,smooth,brown,0,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,abundant,grasses
edible,convex,smooth,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,flat,scaly,brown,1,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,bell,smooth,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,fibrous,brown,0,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,1,enanescent,black,scattered,grasses
edible,bell,smooth,yellow,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,flat,scaly,yellow,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,paths
edible,bell,scaly,white,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,convex,scaly,yellow,1,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,grasses
edible,bell,scaly,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,bell,scaly,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,convex,smooth,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,convex,smooth,yellow,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,sunken,fibrous,gray,0,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,solitary,urban
edible,convex,fibrous,white,1,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,u,several,woods
edible,convex,smooth,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
poisonous,convex,scaly,white,1,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,convex,scaly,yellow,1,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,0,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,convex,scaly,yellow,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,grasses
edible,convex,smooth,yellow,1,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,u,several,woods
edible,sunken,fibrous,brown,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
poisonous,convex,smooth,white,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,grasses
edible,convex,scaly,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
poisonous,flat,scaly,brown,1,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,grasses
edible,flat,smooth,gray,0,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,abundant,grasses
edible,convex,smooth,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,convex,smooth,white,0,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,1,enanescent,black,scattered,grasses
edible,bell,smooth,yellow,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,flat,fibrous,gray,0,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,1,enanescent,brown,abundant,grasses
edible,convex,smooth,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,bell,smooth,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,bell,smooth,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,bell,scaly,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,flat,smooth,white,1,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,u,several,woods
edible,convex,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,flat,smooth,white,1,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
poisonous,convex,scaly,white,1,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,flat,fibrous,white,1,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,convex,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
poisonous,convex,smooth,brown,1,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,grasses
edible,bell,smooth,yellow,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,brown,1,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,paths
edible,bell,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,sunken,fibrous,brown,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,flat,scaly,brown,1,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,paths
edible,convex,scaly,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,convex,fibrous,gray,0,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,1,enanescent,black,scattered,grasses
edible,flat,fibrous,white,0,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,1,enanescent,brown,abundant,grasses
edible,convex,scaly,yellow,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,bell,scaly,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,convex,scaly,white,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,smooth,brown,0,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,white,1,enanescent,brown,abundant,grasses
edible,convex,scaly,white,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,sunken,fibrous,brown,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,urban
edible,convex,smooth,white,1,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,u,several,woods
edible,convex,scaly,brown,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,scattered,grasses
edible,bell,scaly,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,white,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,bell,scaly,white,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,bell,smooth,yellow,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,bell,smooth,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,bell,scaly,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,convex,fibrous,brown,0,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,flat,scaly,brown,1,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,grasses
edible,convex,scaly,white,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,flat,scaly,yellow,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,paths
edible,bell,smooth,white,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,bell,smooth,white,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
edible,convex,scaly,brown,1,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,grasses
edible,bell,smooth,white,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,fibrous,gray,0,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,bell,smooth,yellow,1,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,fibrous,yellow,1,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,u,several,woods
edible,bell,scaly,yellow,1,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,flat,scaly,yellow,1,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,scattered,grasses
edible,bell,scaly,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,bell,scaly,white,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,meadows
edible,bell,scaly,yellow,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
poisonous,convex,scaly,white,1,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,sunken,fibrous,brown,0,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,flat,fibrous,brown,0,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,urban
edible,convex,smooth,yellow,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,flat,scaly,brown,1,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,scattered,paths
poisonous,convex,scaly,white,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,bell,smooth,white,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,flat,fibrous,gray,0,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,1,pendant,black,several,urban
edible,bell,scaly,yellow,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,convex,scaly,brown,1,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,brown,solitary,paths
edible,convex,fibrous,white,0,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,white,1,enanescent,black,scattered,grasses
edible,convex,smooth,white,1,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,bell,smooth,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,flat,smooth,yellow,1,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,convex,smooth,yellow,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,flat,fibrous,gray,0,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,solitary,urban
edible,bell,smooth,yellow,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,smooth,white,1,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,meadows
edible,convex,scaly,white,1,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,meadows
edible,flat,smooth,white,1,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,1,pendant,brown,several,woods
edible,convex,scaly,yellow,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,scattered,grasses
edible,bell,smooth,white,1,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,grasses
edible,convex,smooth,white,1,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,numerous,grasses
edible,convex,fibrous,white,0,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,1,enanescent,black,scattered,grasses
edible,flat,scaly,brown,1,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,1,pendant,black,solitary,paths
poisonous,convex,smooth,white,1,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,1,pendant,brown,several,urban
edible,bell,smooth,white,1,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,1,pendant,brown,numerous,grasses
edible,bell,smooth,white,1,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,1,pendant,black,scattered,meadows
